date,open,high,low,close,volume
2022-02-01,137.097,137.296,133.883,137.147,68892480
2022-02-02,150.704,150.999,144.997,147.465,123645829
2022-02-03,145.18,149.134,142.149,142.574,71776477
2022-02-04,142.927,144.352,140.008,142.775,58208469
2022-02-07,143.729,143.729,138.398,138.698,55172583
2022-02-08,138.524,139.495,136.52,138.895,54480383
2022-02-09,140.454,142.009,139.68,141.081,40289405
2022-02-10,139.199,140.973,137.458,138.12,39473237
2022-02-11,138.1,138.653,132.918,133.797,40103193
2022-02-14,132.776,135.808,132.776,135.037,34425424
2022-02-15,137.073,137.609,135.331,136.114,26808091
2022-02-16,136.152,137.587,134.436,137.241,25112004
2022-02-17,135.751,136.618,132,132.061,39090695
2022-02-18,132.985,133.586,129.726,129.932,45784815
2022-02-22,129.369,131.702,127.76,129.345,45153835
2022-02-23,131.173,131.574,127.067,127.127,32904872
2022-02-24,124.502,132.52,124.502,132.211,54652485
2022-02-25,133.069,134.784,131.277,133.974,36537955
2022-02-28,132.569,135.261,132.113,134.569,39005307
2022-03-01,134.39,135.764,132.737,133.578,26591408
2022-03-02,134.142,134.774,132.591,134.086,23605061
2022-03-03,135.519,135.946,132.545,133.416,24692429
2022-03-04,132.448,133.369,129.867,131.429,30561026
2022-03-07,131.013,131.26,125.839,125.922,45276478
2022-03-08,125.794,130.776,125.221,126.645,40573652
2022-03-09,130.776,133.253,129.432,132.938,37159620
2022-03-10,130.792,132.791,130.44,131.952,27199645
2022-03-11,133.006,133.313,129.163,129.401,31640726
2022-03-14,129.78,129.937,124.822,125.496,38951954
2022-03-15,126.517,129.385,125.266,128.731,31031606
2022-03-16,130.261,132.852,128.269,132.8,35705950
2022-03-17,132.668,133.596,131.707,133.356,28366379
2022-03-18,132.942,135.752,131.78,135.635,44728459
2022-03-21,135.673,136.555,133.608,135.611,26928947
2022-03-22,135.611,140.54,135.611,139.363,35624214
2022-03-23,138.202,139.084,137.338,137.776,25244583
2022-03-24,138.697,141.108,137.254,141.061,26492250
2022-03-25,141.403,141.522,139.233,141.161,24230601
2022-03-28,140.391,141.489,139.306,140.945,35176317
2022-03-29,142.131,143.275,141.525,141.991,34441422
2022-03-30,141.945,142.204,141.089,141.425,19956844
2022-03-31,141.54,141.595,138.522,138.566,37660750
2022-04-01,138.996,139.964,137.808,139.644,26035480
2022-04-04,139.851,143.193,139.803,142.456,26064986
2022-04-05,142.353,142.474,139.875,140.083,21495762
2022-04-06,138.249,138.857,135.028,136.054,32586181
2022-04-07,135.519,136.668,133.742,135.397,26328699
2022-04-08,135.095,135.179,132.486,132.807,25233945
2022-04-11,131.348,131.615,128.203,128.358,37016764
2022-04-12,131.125,131.125,126.331,127.253,32829279
2022-04-13,127.538,129.863,127.28,129.425,28028479
2022-04-14,130.008,130.008,126.143,126.272,31712525
2022-04-18,126.541,127.749,125.726,127.215,20884093
2022-04-19,127.23,129.862,126.54,129.54,26585788
2022-04-20,130.42,130.924,127.039,127.578,31810359
2022-04-21,128.783,129.628,124.077,124.363,36577277
2022-04-22,124.549,124.949,118.496,119.204,57089929
2022-04-25,118.67,122.833,118.083,122.629,46295479
2022-04-26,121.852,122.068,118.083,118.222,73319711
2022-04-27,114.055,116.819,112.33,113.881,92153438
2022-04-28,115.995,119.217,113.703,118.094,49061851
2022-04-29,116.312,117.494,113.403,113.698,42830704
2022-05-02,112.995,116.324,112.193,116.162,35661830
2022-05-03,116.011,118.014,115.615,116.91,25057869
2022-05-04,116.609,122.41,114.701,121.819,50096227
2022-05-05,119.77,120.602,114.591,116.085,46006756
2022-05-06,114.768,117.146,113.604,115.328,39853531
2022-05-09,112.841,114.662,111.597,112.105,40950774
2022-05-10,115.091,115.83,112.494,113.982,40045022
2022-05-11,112.827,115.944,112.827,113.192,37670807
2022-05-12,110.976,113.882,109.428,112.437,54031341
2022-05-13,114.119,117.449,113.195,115.631,35165498
2022-05-16,114.541,115.75,113.478,114.032,26084657
2022-05-17,116.418,116.478,114.455,116.052,23136730
2022-05-18,114.585,114.983,111.153,111.495,35253315
2022-05-19,111.029,112.601,109.602,109.985,34268176
2022-05-20,111.547,111.779,105.414,108.515,49140455
2022-05-23,109.192,111.743,108.348,111.085,37319739
2022-05-24,105.39,106.073,101.517,105.588,77058114
2022-05-25,104.607,106.115,103.482,105.423,40403276
2022-05-26,105.295,108.256,104.845,107.402,38084782
2022-05-27,109.087,111.912,108.744,111.91,38051562
2022-05-31,112.339,115.317,111.674,113.351,50193559
2022-06-01,114.44,116.679,112.841,113.48,36738218
2022-06-02,113.588,117.473,112.538,117.197,38130005
2022-06-03,115.642,115.902,113.108,114.127,26230203
2022-06-06,116.284,118.916,115.744,116.398,33663131
2022-06-07,115.063,117.266,114.637,116.726,31704978
2022-06-08,116.34,118.142,116.179,116.771,26202383
2022-06-09,115.908,117.871,114.361,114.421,25891480
2022-06-10,112.039,112.87,109.967,110.761,41632215
2022-06-13,106.401,108.399,105.736,106.008,47423212
2022-06-14,106.15,107.534,105.418,106.33,33828448
2022-06-15,108.153,111.021,107.281,109.368,39842089
2022-06-16,106.834,108.255,104.758,105.651,51872323
2022-06-17,105.651,108.306,104.667,106.756,51562765
2022-06-21,108.537,112.083,108.208,111.141,47587687
2022-06-22,110.157,112.937,109.983,111.085,30885699
2022-06-23,111.826,112.335,110.102,111.836,28464734
2022-06-24,112.586,117.653,112.545,117.549,41312902
2022-06-27,117.845,118.152,114.764,115.416,36552788
2022-06-28,115.385,116.887,111.444,111.604,36011032
2022-06-29,111.149,112.751,110.472,111.298,24806420
2022-06-30,109.602,110.487,106.365,108.57,43325552
2022-07-01,107.543,108.855,106.345,108.345,35604262
2022-07-05,106.714,112.968,105.35,112.854,39542467
2022-07-06,112.893,115.172,111.073,114.158,37567072
2022-07-07,114.665,118.759,114.419,118.354,41084276
2022-07-08,116.827,119.253,116.479,118.923,38376777
2022-07-11,117.572,117.572,114.913,115.258,31356961
2022-07-12,115.795,116.551,113.28,113.608,30068306
2022-07-13,111.297,113.784,110.801,110.952,43880516
2022-07-14,109.812,110.692,107.982,109.968,37137179
2022-07-15,111.597,112.731,110.499,111.374,46938662
2022-07-18,112.233,113.27,107.979,108.636,43321063
2022-07-19,110.449,113.608,109.164,113.399,36663373
2022-07-20,112.761,114.983,112.074,113.488,35729481
2022-07-21,113.868,114.136,110.712,113.927,32794620
2022-07-22,110.599,111.934,106.115,107.51,49078455
2022-07-25,108.018,109.474,105.916,107.122,34816651
2022-07-26,106.215,106.813,103.694,104.641,48164935
2022-07-27,108.865,113.498,107.62,112.651,60075488
2022-07-28,111.964,113.927,111.057,113.808,32935531
2022-07-29,112.671,116.284,112.651,115.9,37358329
2022-08-01,114.883,116.298,113.927,114.445,26128664
2022-08-02,113.588,115.93,113.309,114.715,20309386
2022-08-03,115.292,118.192,115.063,117.654,28602325
2022-08-04,117.055,118.351,116.468,117.764,21681237
2022-08-05,115.81,117.679,115.581,117.046,19228975
2022-08-08,117.962,119.716,116.458,116.877,19238970
2022-08-09,116.712,116.897,115.292,116.209,19155655
2022-08-10,118.351,120.483,117.982,119.268,31042475
2022-08-11,120.842,121.051,118.132,118.411,24381720
2022-08-12,119.826,121.241,119.029,121.241,19165493
2022-08-15,120.693,121.858,120.174,121.639,19565495
2022-08-16,121.081,121.988,120.204,121.26,19110256
2022-08-17,119.686,120.851,118.949,119.118,22929780
